iter	Passed	Remaining
431	1424	1872
432	1425	1867
433	1429	1864
434	1431	1859
435	1433	1853
436	1434	1848
437	1436	1842
438	1437	1837
439	1438	1831
440	1440	1825
441	1444	1823
442	1446	1818
443	1447	1813
444	1449	1807
445	1450	1802
446	1452	1796
447	1453	1791
448	1455	1785
449	1460	1784
450	1462	1779
451	1463	1774
452	1465	1769
453	1466	1764
454	1468	1758
455	1469	1753
456	1471	1748
457	1477	1748
458	1479	1744
459	1481	1739
460	1483	1733
461	1484	1728
462	1486	1723
463	1490	1721
464	1492	1716
465	1493	1711
466	1495	1706
467	1496	1701
468	1498	1696
469	1499	1691
470	1501	1686
471	1504	1683
472	1506	1678
473	1508	1673
474	1509	1668
475	1510	1663
476	1512	1658
477	1513	1653
478	1515	1648
479	1517	1644
480	1519	1639
481	1521	1634
482	1522	1630
483	1524	1625
484	1525	1620
485	1527	1615
486	1528	1610
487	1530	1605
488	1533	1602
489	1535	1597
490	1537	1593
491	1538	1588
492	1540	1583
493	1541	1579
494	1543	1574
495	1544	1569
496	1547	1565
497	1549	1561
498	1550	1557
499	1552	1552
500	1553	1547
501	1555	1543
502	1556	1538
503	1558	1533
504	1559	1528
505	1563	1526
506	1565	1521
507	1566	1517
508	1568	1512
509	1569	1507
510	1570	1503
511	1572	1498
512	1573	1494
513	1576	1490
514	1578	1486
515	1580	1482
516	1582	1478
517	1583	1473
518	1585	1469
519	1586	1464
520	1587	1459
521	1589	1455
522	1594	1454
523	1596	1450
524	1598	1445
525	1599	1441
526	1601	1437
527	1603	1433
528	1604	1428
529	1607	1425
530	1608	1421
531	1610	1416
532	1611	1412
533	1613	1408
534	1615	1403
535	1618	1400
536	1621	1397
537	1622	1393
538	1624	1389
539	1625	1385
540	1627	1380
541	1629	1376
542	1630	1372
543	1632	1368
544	1633	1363
545	1637	1361
546	1638	1357
547	1640	1352
548	1642	1348
549	1643	1344
550	1645	1340
551	1646	1336
552	1648	1332
553	1652	1330
554	1653	1326
555	1655	1322
556	1657	1317
557	1658	1313
558	1659	1309
559	1661	1305
560	1662	1301
561	1665	1298
562	1667	1294
563	1670	1291
564	1671	1286
565	1673	1282
566	1674	1278
567	1675	1274
568	1677	1270
569	1680	1267
570	1682	1264
571	1684	1260
572	1685	1256
573	1687	1252
574	1689	1248
575	1690	1244
576	1692	1240
577	1695	1237
578	1697	1233
579	1698	1230
580	1700	1226
581	1702	1222
582	1703	1218
583	1705	1214
584	1706	1210
585	1709	1207
586	1711	1204
587	1713	1200
588	1715	1196
589	1716	1192
590	1718	1188
591	1719	1185
592	1721	1181
593	1723	1178
594	1725	1174
595	1727	1171
596	1729	1167
597	1730	1163
598	1732	1159
599	1733	1155
600	1735	1151
601	1736	1148
602	1739	1145
603	1741	1141
604	1743	1138
605	1744	1134
606	1746	1130
607	1747	1126
608	1749	1123
609	1750	1119
610	1753	1116
611	1755	1112
612	1757	1109
613	1759	1106
614	1760	1102
615	1762	1098
616	1764	1095
617	1765	1091
618	1768	1088
619	1770	1084
620	1772	1081
621	1773	1077
622	1775	1074
623	1776	1070
624	1778	1066
625	1779	1063
626	1781	1059
627	1785	1057
628	1786	1053
629	1788	1050
630	1790	1046
631	1792	1043
632	1793	1039
633	1795	1036
634	1798	1033
635	1800	1030
636	1802	1027
637	1804	1023
638	1805	1020
639	1807	1016
640	1809	1013
641	1815	1012
642	1821	1011
643	1822	1007
644	1825	1004
645	1831	1003
646	1834	1000
647	1836	997
648	1862	1007
649	1869	1006
650	1883	1009
651	1885	1006
652	1892	1005
653	1897	1004
654	1900	1000
655	1902	997
656	1906	995
657	1909	992
658	1911	988
659	1912	985
660	1914	981
661	1916	978
662	1918	974
663	1921	972
664	1923	968
665	1925	965
666	1926	962
667	1928	958
668	1930	955
669	1931	951
670	1933	948
671	1937	945
672	1939	942
673	1941	938
674	1942	935
675	1944	931
676	1945	928
677	1947	924
678	1948	921
679	1953	919
680	1956	916
681	1958	913
682	1959	909
683	1961	906
684	1963	903
685	1969	901
686	1972	898
687	1975	895
688	1977	892
689	1978	889
690	1984	887
691	1986	884
692	1989	881
693	1992	878
694	1994	875
695	2000	873
696	2003	870
697	2004	867
698	2006	864
699	2008	860
700	2010	857
701	2015	855
702	2018	852
703	2019	849
704	2021	845
705	2023	842
706	2025	839
707	2030	837
708	2033	834
709	2034	831
710	2036	827
711	2038	824
712	2040	821
713	2045	819
714	2046	815
715	2048	812
716	2050	809
717	2052	805
718	2054	802
719	2056	799
720	2058	796
721	2061	793
722	2063	790
723	2065	787
724	2067	784
725	2072	782
726	2074	778
727	2076	775
728	2078	772
729	2080	769
730	2081	766
731	2083	762
732	2087	760
733	2089	757
734	2091	754
735	2093	750
736	2094	747
737	2096	744
738	2098	741
739	2103	739
740	2105	736
741	2107	732
742	2109	729
743	2110	726
744	2112	723
745	2116	720
746	2119	717
747	2121	714
748	2122	711
749	2124	708
750	2126	705
751	2128	701
752	2132	699
753	2134	696
754	2136	693
755	2138	690
756	2139	686
757	2141	683
758	2143	680
759	2147	678
760	2150	675
761	2151	672
762	2153	668
763	2155	665
764	2157	662
765	2158	659
766	2165	657
767	2168	654
768	2170	652
769	2172	648
770	2173	645
771	2179	643
772	2181	640
773	2183	637
774	2184	634
775	2186	631
776	2188	628
777	2189	624
778	2194	622
779	2196	619
780	2198	616
781	2200	613
782	2201	610
783	2203	607
784	2205	604
785	2207	601
786	2209	598
787	2211	594
788	2213	591
789	2214	588
790	2216	585
791	2220	583
792	2224	580
793	2226	577
794	2229	574
795	2231	571
796	2235	569
797	2238	566
798	2239	563
799	2241	560
800	2243	557
801	2245	554
802	2246	551
803	2252	549
804	2254	546
805	2256	543
806	2257	540
807	2259	536
808	2261	533
809	2263	530
810	2269	528
811	2272	526
812	2274	523
813	2276	520
814	2278	517
815	2283	514
816	2285	511
817	2287	508
818	2288	505
819	2290	502
820	2292	499
821	2296	497
822	2298	494
823	2300	491
824	2302	488
825	2304	485
826	2306	482
827	2307	479
828	2313	477
829	2314	474
830	2316	471
831	2318	468
832	2320	465
833	2322	462
834	2324	459
835	2329	456
836	2330	453
837	2332	450
838	2334	448
839	2336	445
840	2338	442
841	2342	439
842	2344	436
843	2346	433
844	2348	430
845	2350	427
846	2351	424
847	2353	421
848	2358	419
849	2360	416
850	2362	413
851	2365	410
852	2366	407
853	2368	404
854	2371	402
855	2374	399
856	2376	396
857	2378	393
858	2379	390
859	2381	387
860	2383	384
861	2384	381
862	2388	379
863	2390	376
864	2391	373
865	2393	370
866	2394	367
867	2396	364
868	2397	361
869	2399	358
870	2402	355
871	2404	352
872	2406	350
873	2407	347
874	2409	344
875	2410	341
876	2412	338
877	2413	335
878	2416	332
879	2418	329
880	2420	326
881	2421	324
882	2423	321
883	2424	318
884	2426	315
885	2427	312
886	2429	309
887	2433	306
888	2434	304
889	2436	301
890	2438	298
891	2439	295
892	2441	292
893	2442	289
894	2444	286
895	2447	284
896	2449	281
897	2451	278
898	2453	275
899	2455	272
900	2457	269
901	2458	267
902	2461	264
903	2463	261
904	2465	258
905	2466	255
906	2468	253
907	2469	250
908	2471	247
909	2472	244
910	2473	241
911	2475	238
912	2477	236
913	2479	233
914	2480	230
915	2482	227
916	2483	224
917	2485	222
918	2487	219
919	2490	216
920	2491	213
921	2493	210
922	2495	208
923	2496	205
924	2498	202
925	2499	199
926	2500	196
927	2504	194
928	2506	191
929	2507	188
930	2509	185
931	2510	183
932	2512	180
933	2513	177
934	2515	174
935	2518	172
936	2520	169
937	2521	166
938	2523	163
939	2524	161
940	2526	158
941	2527	155
942	2529	152
943	2530	150
944	2534	147
945	2536	144
946	2537	142
947	2539	139
948	2540	136
949	2542	133
950	2543	131
951	2545	128
952	2548	125
953	2550	122
954	2552	120
955	2553	117
956	2555	114
957	2557	112
958	2558	109
959	2560	106
960	2563	104
961	2565	101
962	2567	98
963	2568	95
964	2570	93
965	2571	90
966	2573	87
967	2574	85
968	2576	82
969	2578	79
970	2580	77
971	2582	74
972	2583	71
973	2585	69
974	2586	66
975	2588	63
976	2589	60
977	2593	58
978	2594	55
979	2596	52
980	2599	50
981	2600	47
982	2602	45
983	2604	42
984	2608	39
985	2610	37
986	2612	34
987	2613	31
988	2615	29
989	2617	26
990	2618	23
991	2620	21
992	2623	18
993	2624	15
994	2626	13
995	2628	10
996	2629	7
997	2631	5
998	2632	2
999	2634	0
